Ensembl ID,Gene,log_2 fold change
ENSG00000119922,IFIT2,7.1
ENSG00000135114,OASL,6.7
ENSG00000171855,IFNB1,6.4
ENSG00000134321,RSAD2,6.3
ENSG00000165949,IFI27,5.5
