Gene,Gene Name,log_2 fold change,Adjusted p-value
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000197296"" target=""_blank"">ENSG00000197296</a>",FITM2,9.7,0.0001693754580097
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000107815"" target=""_blank"">ENSG00000107815</a>",TWNK,9.6,1.33400603905e-05
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000101255"" target=""_blank"">ENSG00000101255</a>",TRIB3,9.4,1.97945597303982e-08
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000165626"" target=""_blank"">ENSG00000165626</a>",BEND7,9.3,3.28576790764e-05
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000162929"" target=""_blank"">ENSG00000162929</a>",SANBR,9.3,0.0002599932792023
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000142149"" target=""_blank"">ENSG00000142149</a>",HUNK,9.3,1.7540356989e-06
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000100979"" target=""_blank"">ENSG00000100979</a>",PLTP,9.3,0.000538105737196
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000094804"" target=""_blank"">ENSG00000094804</a>",CDC6,9.3,2.553414835e-05
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000135094"" target=""_blank"">ENSG00000135094</a>",SDS,9.2,2.03999980343e-05
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000174405"" target=""_blank"">ENSG00000174405</a>",LIG4,9.2,1.7540356989e-06
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000130714"" target=""_blank"">ENSG00000130714</a>",POMT1,9.1,5.38698143217496e-07
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000264575"" target=""_blank"">ENSG00000264575</a>",LINC00526,9.1,1.7221479851e-06
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000111490"" target=""_blank"">ENSG00000111490</a>",TBC1D30,9.0,1.0436277513e-06
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000272686"" target=""_blank"">ENSG00000272686</a>",WASL-DT,8.9,2.178306444e-06
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000109466"" target=""_blank"">ENSG00000109466</a>",KLHL2,8.9,2.29071294010472e-08
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000111186"" target=""_blank"">ENSG00000111186</a>",WNT5B,8.8,0.0007539833435665
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000172201"" target=""_blank"">ENSG00000172201</a>",ID4,8.8,0.000122692714806
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000214039"" target=""_blank"">ENSG00000214039</a>",LINC02418,8.8,3.57286010471694e-61
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000120798"" target=""_blank"">ENSG00000120798</a>",NR2C1,8.7,0.0011991987802395
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000177542"" target=""_blank"">ENSG00000177542</a>",SLC25A22,8.7,1.23322158564274e-07
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000125962"" target=""_blank"">ENSG00000125962</a>",ARMCX5,8.6,0.0006907679823614
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000143228"" target=""_blank"">ENSG00000143228</a>",NUF2,8.5,0.0028349909178669
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000118762"" target=""_blank"">ENSG00000118762</a>",PKD2,8.5,0.0064804750621392
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000112655"" target=""_blank"">ENSG00000112655</a>",PTK7,8.5,3.70793915080905e-09
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000215417"" target=""_blank"">ENSG00000215417</a>",MIR17HG,8.4,0.0012836012975442
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000227403"" target=""_blank"">ENSG00000227403</a>",LINC01806,8.4,0.0012510993587361
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000234912"" target=""_blank"">ENSG00000234912</a>",SNHG20,8.4,2.6458707573e-05
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000120647"" target=""_blank"">ENSG00000120647</a>",CCDC77,8.3,0.0073092342796508
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000137561"" target=""_blank"">ENSG00000137561</a>",TTPA,8.3,0.0018679834699274
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000083307"" target=""_blank"">ENSG00000083307</a>",GRHL2,8.3,5.02886706954e-05
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000078177"" target=""_blank"">ENSG00000078177</a>",N4BP2,8.3,0.0122788001664946
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000184860"" target=""_blank"">ENSG00000184860</a>",SDR42E1,8.3,1.2950500944e-06
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000166881"" target=""_blank"">ENSG00000166881</a>",NEMP1,8.2,0.0003355338491227
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000223547"" target=""_blank"">ENSG00000223547</a>",ZNF844,8.1,0.002490821093817
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000270587"" target=""_blank"">ENSG00000270587</a>",FAM136DP,8.1,9.53474437845e-05
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000186625"" target=""_blank"">ENSG00000186625</a>",KATNA1,8.1,0.0012510993587361
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000157110"" target=""_blank"">ENSG00000157110</a>",RBPMS,8.0,1.7117066287e-06
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000144045"" target=""_blank"">ENSG00000144045</a>",DQX1,8.0,0.0064804750621392
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000180071"" target=""_blank"">ENSG00000180071</a>",ANKRD18A,8.0,0.000386760137543
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000174705"" target=""_blank"">ENSG00000174705</a>",SH3PXD2B,7.9,0.0048680445266458
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000228352"" target=""_blank"">ENSG00000228352</a>",DCAF12-AS1,7.9,0.002763696439225
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000186130"" target=""_blank"">ENSG00000186130</a>",ZBTB6,7.9,0.00120131392221
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000215864"" target=""_blank"">ENSG00000215864</a>",NBPF7P,7.9,0.0016761169539771
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000198467"" target=""_blank"">ENSG00000198467</a>",TPM2,7.9,0.0001240664103348
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000114698"" target=""_blank"">ENSG00000114698</a>",PLSCR4,7.9,0.0009975718367427
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000275004"" target=""_blank"">ENSG00000275004</a>",ZNF280B,7.8,0.0031477055167094
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000225434"" target=""_blank"">ENSG00000225434</a>",LINC01504,7.8,0.002528512856461
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000163071"" target=""_blank"">ENSG00000163071</a>",SPATA18,7.8,0.0086861645299542
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000156931"" target=""_blank"">ENSG00000156931</a>",VPS8,7.8,0.0077737430366961
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000179029"" target=""_blank"">ENSG00000179029</a>",TMEM107,7.7,0.0056726612189269
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000166575"" target=""_blank"">ENSG00000166575</a>",TMEM135,7.7,6.71572990779853e-07
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000278129"" target=""_blank"">ENSG00000278129</a>",ZNF8,7.7,0.0004191005484829
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000272931"" target=""_blank"">ENSG00000272931</a>",LRRC8D-DT,7.7,0.0056587975216123
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000128710"" target=""_blank"">ENSG00000128710</a>",HOXD10,7.6,0.0102070634533637
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000117707"" target=""_blank"">ENSG00000117707</a>",PROX1,7.6,0.0024515135921163
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000140950"" target=""_blank"">ENSG00000140950</a>",MEAK7,7.6,0.0382847421932613
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000179988"" target=""_blank"">ENSG00000179988</a>",PSTK,7.6,0.0189570926636402
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000224429"" target=""_blank"">ENSG00000224429</a>",LINC00539,7.6,0.0068864444550271
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000197696"" target=""_blank"">ENSG00000197696</a>",NMB,7.6,0.0111321675175149
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000268104"" target=""_blank"">ENSG00000268104</a>",SLC6A14,7.6,0.0106004216647698
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000182393"" target=""_blank"">ENSG00000182393</a>",IFNL1,7.6,1.7374160342762998e-57
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000164291"" target=""_blank"">ENSG00000164291</a>",ARSK,7.6,0.0108081228024399
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000181634"" target=""_blank"">ENSG00000181634</a>",TNFSF15,7.5,0.0225612591892226
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000128965"" target=""_blank"">ENSG00000128965</a>",CHAC1,7.5,0.0311876490106974
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000103021"" target=""_blank"">ENSG00000103021</a>",CFAP263,7.5,0.0203224034290854
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000128714"" target=""_blank"">ENSG00000128714</a>",HOXD13,7.5,0.0345043060957465
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000102870"" target=""_blank"">ENSG00000102870</a>",ZNF629,7.5,0.0018679834699274
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000079482"" target=""_blank"">ENSG00000079482</a>",OPHN1,7.4,1.41983602656e-05
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000162804"" target=""_blank"">ENSG00000162804</a>",SNED1,7.4,0.0191527117201875
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000244342"" target=""_blank"">ENSG00000244342</a>",LINC00698,7.4,1.8976651263317698e-168
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000144115"" target=""_blank"">ENSG00000144115</a>",THNSL2,7.4,0.0019005222075518
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000170448"" target=""_blank"">ENSG00000170448</a>",NFXL1,7.4,0.0149804645011152
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000142556"" target=""_blank"">ENSG00000142556</a>",ZNF614,7.4,0.0063194378505748
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000285533"" target=""_blank"">ENSG00000285533</a>",RELA-DT,7.3,0.0046970436268149
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000196663"" target=""_blank"">ENSG00000196663</a>",TECPR2,7.3,0.007952262877495
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000044459"" target=""_blank"">ENSG00000044459</a>",CNTLN,7.3,0.0012510993587361
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000115165"" target=""_blank"">ENSG00000115165</a>",CYTIP,7.2,2.35539524907272e-10
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000069943"" target=""_blank"">ENSG00000069943</a>",PIGB,7.2,0.0002273968369876
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000145911"" target=""_blank"">ENSG00000145911</a>",N4BP3,7.2,0.0050925020491264
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000118496"" target=""_blank"">ENSG00000118496</a>",FBXO30,7.2,5.65677063122109e-07
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000144026"" target=""_blank"">ENSG00000144026</a>",ZNF514,7.2,0.0174187276810296
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000253438"" target=""_blank"">ENSG00000253438</a>",PCAT1,7.2,0.0271014765105568
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000243926"" target=""_blank"">ENSG00000243926</a>",TIPARP-AS1,7.2,0.0040041425140073
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000189362"" target=""_blank"">ENSG00000189362</a>",NEMP2,7.1,0.0048602541595091
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000119922"" target=""_blank"">ENSG00000119922</a>",IFIT2,7.1,0.0
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000139350"" target=""_blank"">ENSG00000139350</a>",NEDD1,7.1,2.66748374223e-05
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000109189"" target=""_blank"">ENSG00000109189</a>",USP46,7.0,0.012743932550339
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000137673"" target=""_blank"">ENSG00000137673</a>",MMP7,7.0,1.1406995129355e-21
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000225706"" target=""_blank"">ENSG00000225706</a>",PTPRD-AS1,7.0,0.0297931157805882
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000233325"" target=""_blank"">ENSG00000233325</a>",MIPEPP3,6.9,0.0183033755944596
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000124787"" target=""_blank"">ENSG00000124787</a>",RPP40,6.9,1.3369537913e-06
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000086848"" target=""_blank"">ENSG00000086848</a>",ALG9,6.8,0.0178017155952224
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000102837"" target=""_blank"">ENSG00000102837</a>",OLFM4,6.8,2.00539086202007e-07
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000105989"" target=""_blank"">ENSG00000105989</a>",WNT2,6.8,2.67514192018438e-49
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000163214"" target=""_blank"">ENSG00000163214</a>",DHX57,6.8,0.000405092268278
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000198883"" target=""_blank"">ENSG00000198883</a>",PNMA5,6.8,2.49217299508375e-93
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000110077"" target=""_blank"">ENSG00000110077</a>",MS4A6A,6.8,0.012743932550339
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000168612"" target=""_blank"">ENSG00000168612</a>",ZSWIM1,6.7,1.08467389264e-05
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000176248"" target=""_blank"">ENSG00000176248</a>",ANAPC2,6.7,0.0026344276342091
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000101276"" target=""_blank"">ENSG00000101276</a>",SLC52A3,6.7,9.53474437845e-05
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000166762"" target=""_blank"">ENSG00000166762</a>",CATSPER2,6.7,0.007964609221183
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000135114"" target=""_blank"">ENSG00000135114</a>",OASL,6.7,0.0
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000151208"" target=""_blank"">ENSG00000151208</a>",DLG5,6.7,0.0061487857548108
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000147041"" target=""_blank"">ENSG00000147041</a>",SYTL5,6.6,1.38045861864e-05
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000015153"" target=""_blank"">ENSG00000015153</a>",YAF2,6.6,5.1356915577e-05
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000170373"" target=""_blank"">ENSG00000170373</a>",CST1,6.6,8.474668940538261e-17
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000143971"" target=""_blank"">ENSG00000143971</a>",ETAA1,6.6,0.0228369958633643
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000205659"" target=""_blank"">ENSG00000205659</a>",LIN52,6.6,0.0043014805386002
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000196741"" target=""_blank"">ENSG00000196741</a>",LINC01560,6.6,0.0202096438883919
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000169908"" target=""_blank"">ENSG00000169908</a>",TM4SF1,6.5,6.973674500032561e-09
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000185479"" target=""_blank"">ENSG00000185479</a>",KRT6B,6.5,0.0053557116559828
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000271503"" target=""_blank"">ENSG00000271503</a>",CCL5,6.5,1.26754011605185e-39
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000255857"" target=""_blank"">ENSG00000255857</a>",PXN-AS1,6.5,0.0311442923932541
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000103042"" target=""_blank"">ENSG00000103042</a>",SLC38A7,6.5,0.0009818209282859
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000154277"" target=""_blank"">ENSG00000154277</a>",UCHL1,6.4,6.290697621754499e-12
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000171855"" target=""_blank"">ENSG00000171855</a>",IFNB1,6.4,1.06568573983289e-33
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000167523"" target=""_blank"">ENSG00000167523</a>",SPATA33,6.4,0.0036908730595078
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000167702"" target=""_blank"">ENSG00000167702</a>",KIFC2,6.4,0.0003164545596746
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000235109"" target=""_blank"">ENSG00000235109</a>",ZSCAN31,6.4,0.0105205052106466
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000196872"" target=""_blank"">ENSG00000196872</a>",CRACDL,6.4,0.0472435865806825
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000145545"" target=""_blank"">ENSG00000145545</a>",SRD5A1,6.4,0.0133342794827578
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000152661"" target=""_blank"">ENSG00000152661</a>",GJA1,6.4,1.11354693318811e-229
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000007062"" target=""_blank"">ENSG00000007062</a>",PROM1,6.3,1.32960191435873e-09
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000036672"" target=""_blank"">ENSG00000036672</a>",USP2,6.3,0.0361712568520665
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000108406"" target=""_blank"">ENSG00000108406</a>",DHX40,6.3,0.0004090773633744
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000109066"" target=""_blank"">ENSG00000109066</a>",TMEM104,6.3,1.75260093213921e-07
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000109511"" target=""_blank"">ENSG00000109511</a>",ANXA10,6.3,1.98433651056958e-08
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000134321"" target=""_blank"">ENSG00000134321</a>",RSAD2,6.3,6.715136864850251e-47
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000131080"" target=""_blank"">ENSG00000131080</a>",EDA2R,6.3,2.06191913100761e-159
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000228409"" target=""_blank"">ENSG00000228409</a>",CCT6P1,6.3,0.0010514421987751
