Ensembl ID,Gene,log_2 fold change
ENSG00000079112,CDH17,13.1
ENSG00000128591,FLNC,12.8
ENSG00000165376,CLDN2,5.9
ENSG00000126259,KIRREL2,5.6
ENSG00000072415,PALS1,5.5
ENSG00000140937,CDH11,5.5
